"Target","M25079_s_at","HG1428.HT1428_s_at","hum_alu_at","D86974_at","M26602_at","D49824_s_at","Z84721_cds2_at","L06499_at","M26311_s_at","X00274_at","J04617_s_at","X57351_s_at","Z19554_s_at","AFFX.HSAC07.X00351_M_at","M63438_s_at","M11147_at","M19507_at","HG2887.HT3031_at","Z12962_at","M13560_s_at","M27891_at","V00594_s_at","X00437_s_at","AFFX.HUMGAPDH.M33197_5_at","M96326_rna1_at","AFFX.M27830_5_at","X00351_f_at","Z70759_at","M27783_s_at","M91036_rna1_at","M20203_s_at","L19779_at","Y00787_s_at","X56681_s_at","AFFX.HSAC07.X00351_5_at","M14483_rna1_s_at","M87789_s_at","Y00433_at","V00599_s_at","S71043_rna1_s_at","X82240_rna1_at","X03689_s_at","AFFX.HSAC07.X00351_3_at","M10277_s_at","M17886_at","M69043_at","J04456_at","AFFX.HUMRGE.M10098_5_at","X80822_at","D79205_at","M17733_at","AFFX.M27830_M_at","D64142_at","M12886_at","Z48950_at","HG4319.HT4589_at","X55668_at","M33600_f_at","S82297_at","D32129_f_at","AFFX.HUMGAPDH.M33197_M_at","J03077_s_at","D13413_rna1_s_at","U49869_rna1_at","J00105_s_at","X01677_f_at","D21261_at","M21186_at","U01317_cds4_at","J04990_at","AFFX.HUMGAPDH.M33197_3_at","U14970_at","L38941_at","M94880_f_at","Z48501_s_at","HG658.HT658_f_at","M21005_at","L06797_s_at","HG3576.HT3779_f_at","J04164_at","X69654_at","AFFX.HUMRGE.M10098_3_at","X58529_at","M14328_s_at","X17206_at","X98482_r_at","D78361_at","X68277_at","L20941_at","M13792_at","M28130_rna1_s_at","U06155_s_at","Z23090_at","M84711_at","U43901_rna1_s_at","L20688_at","X14008_rna1_f_at","Z28407_at","M19045_f_at","HG2815.HT4023_s_at","X78992_at","U14973_at","S73591_at","M21119_s_at","M17885_at","M34516_at","M84526_at","L26247_at","J03801_f_at","HG3549.HT3751_at","M24194_at","X76223_s_at","M16279_at","U12404_at","X04347_s_at","M11353_at","AFFX.HUMRGE.M10098_M_at","M62831_at","M19283_at","HG2917.HT3061_f_at","X67247_rna1_at","J03592_at","U51240_at","M77232_rna1_at","X04500_at","HG2915.HT3059_f_at","D63874_at","U14971_at","M23613_at","D23660_at","M33680_at","X15183_at","X12447_at","M11722_at","M18000_at","X17042_at","HG33.HT33_at","V00594_at","S54005_s_at","U78027_rna3_at","X52851_rna1_at","M81757_at","Z49148_s_at","U05259_rna1_at","L04483_s_at","HG3364.HT3541_at","U52101_at","U14968_at","X17093_at","M13934_cds2_at"
"AML",2545,3115,38690,9267,74,9788,2167,37108,11903,1780,30030,3982,11995,21282,9927,14092,9986,-11067,28550,2466,3168,1971,-7,15277,28647,78,15490,20183,14957,249,13436,4086,127,1731,15020,9251,10562,6932,6146,5658,-35,23857,16637,15036,33254,518,3272,-112,26111,21675,7419,929,1603,241,2574,18644,11967,1153,13878,2519,20230,3101,13046,6157,9835,23151,5102,12777,149,5037,23591,22503,14128,3789,3182,4186,5074,715,345,269,14617,-227,312,11462,32977,16797,10507,992,1096,1004,-58,21661,809,6674,19525,10446,2114,21009,2048,4939,792,28083,3019,4518,26494,3860,10120,2952,3111,21091,26829,66,1275,19354,13461,5426,-261,1562,8884,2623,25793,9220,2030,13748,373,2370,2678,12510,8082,14880,1012,2563,11417,51,20979,8964,20551,-1189,2246,8887,4905,18039,20101,174,21258,25427,1116,16608,440,14462
"AML",49282,59647,58203,10769,0,41573,43434,39663,20320,24629,38832,14991,14320,43858,6178,19612,14230,-16131,33163,25213,14193,1369,18,12320,2571,77,36483,26322,2262,15390,1900,3916,2132,7767,27633,6729,10191,23494,3193,4818,194,17473,41768,39623,27451,3857,4043,-173,28910,18848,19374,982,3406,531,4846,9449,806,13504,26876,12255,14969,10908,5780,7007,20586,24690,8052,15124,1712,488,16230,11173,11671,12833,5721,13992,5928,744,6497,2219,4145,-454,1190,6311,24128,25673,10707,6361,4367,1845,661,20938,587,7551,8067,13810,11007,12082,12731,9310,1829,23058,3780,1975,20069,3937,5903,3604,11693,15779,16512,136,4587,9075,4753,6475,-513,3149,7742,5650,12261,6188,3214,9405,383,5316,2070,5464,4383,11520,-40,1712,8011,80,14948,3653,8997,-1567,7266,4234,4642,13421,12558,698,12432,16611,5925,13074,3026,13773
"AML",34378,29929,31022,18444,34591,22551,17659,33011,31304,9902,26278,10766,2155,33580,16489,7833,27285,-9338,23848,6082,2460,5579,-112,15080,25625,68,21466,20757,38683,818,40792,501,160,1080,24538,9166,14603,9135,6604,7527,-58,17737,25423,25656,27585,924,285,-63,21639,14509,25420,490,972,20,2015,15191,33633,2958,15924,2828,18761,3445,11713,13746,14745,20371,3050,15334,945,8929,21628,24349,16673,5286,5453,8353,17258,678,2458,1657,8024,-225,328,7167,30297,15118,10228,578,591,1162,74,13589,2507,14025,13538,19654,4193,20390,3267,7061,912,25442,2886,4985,27157,11166,3717,1960,2501,14577,24327,-302,1054,15570,12722,11859,-269,1043,7920,2009,22793,1866,1839,12841,336,1873,4828,9553,7511,15775,1237,3662,11576,445,25728,10449,6242,-574,1362,8125,7089,18715,14377,314,18121,20397,1779,16046,970,17036
"AML",36026,30107,36915,25102,-201,28843,19645,37374,60,19502,31704,11118,19018,31262,-474,17887,28390,-16268,27480,9855,123,2334,-986,14081,2297,4,22688,19109,3420,533,2663,20633,13968,22941,23622,7226,-229,13635,6094,448,-82,23004,28813,27634,28026,5286,1796,-56,26247,26591,16528,448,13990,166,9885,16381,3129,7939,16914,8866,14764,2158,13175,15412,11576,24920,16342,8019,214,420,18201,16487,16459,8201,6927,15969,257,346,9937,895,4148,-244,153,9031,21819,15416,9742,3927,4105,1636,5864,18110,5743,13099,9926,11844,3017,12861,3008,11324,1723,28592,10388,619,26411,-1144,2130,5962,3758,15340,12458,-567,6404,14259,10011,11606,-442,6187,7661,5351,15256,4048,1094,11948,1332,5249,4336,10841,3086,14335,3946,8140,9324,221,21262,975,14150,-2683,2646,6760,5715,13327,13880,325,16842,21912,8314,11114,617,9211
"AML",3542,5836,22818,8212,-5,25685,2621,27138,7244,16070,21598,7642,23373,16573,171,22494,17371,-14244,21042,10207,12735,2928,-597,10245,4561,142,18694,18797,3911,220,2483,11733,7229,14684,8175,13581,461,17819,4799,920,84,11631,20322,20217,23125,9837,4536,104,19462,21299,18200,1562,10311,-35,11879,17390,2161,10027,9698,9026,14968,2673,22481,9357,12229,17825,7440,12201,67,386,20096,16785,15767,8893,7028,11943,4744,2752,7672,-309,10668,120,-113,11064,27447,14549,10285,8337,12218,2583,2964,19507,1615,11967,15617,14758,2906,15132,2703,12539,4988,22822,2937,797,26651,25,4667,7360,2789,20553,23619,71,5591,16301,14225,8667,-159,5586,7410,5108,23954,13331,3220,12824,55,4245,4428,13300,8070,13046,227,5239,9004,-170,22925,5086,10801,-3485,8150,7065,7208,22579,17911,301,23870,23421,3900,10605,1049,19378
"AML",53204,33833,39323,3946,58,24407,29136,37795,410,3670,26658,6383,2188,15596,1651,8252,228,-7626,31953,2968,2103,4283,804,6687,380,349,14611,21197,117,15700,-195,1260,621,11193,10269,11014,1084,4709,5746,745,-63,12281,14726,18156,28973,4005,638,569,27058,15713,7626,1830,4329,1653,4444,18452,2,3057,21360,6276,9615,1843,20695,17243,17445,15852,5270,4505,6322,215,17406,18871,15585,7574,6368,9232,154,1356,1993,2621,8930,130,1947,7922,31305,11777,9086,643,4924,1056,130,17358,1451,13525,13681,15309,945,12962,1260,9617,575,23151,4112,323,25774,2229,-189,7089,1208,18860,27536,-80,1034,15965,14453,11138,478,1319,4042,4279,21042,10032,1525,14724,-30,3940,4446,10323,11729,16150,1221,7017,6900,249,20795,3340,10015,-169,6220,8298,5394,18980,16982,623,29849,24248,3807,18491,3368,20506
"AML",32,77,15689,25367,-398,31585,-52,20306,17505,21350,15969,24172,23895,22495,5777,21048,5895,-20782,15058,17527,19680,4178,-595,11955,2270,1030,23111,15138,2203,-59,1749,3508,9612,15485,16134,8132,2471,18230,5076,6403,-486,18080,17352,16462,17044,18579,7586,3762,13441,24292,18214,2801,4525,294,8993,18990,-357,18177,9666,10768,11709,12955,20706,9753,21028,14331,12113,14521,-32,744,18094,16474,10887,11076,12987,12589,9297,1863,15975,1090,10168,1076,651,12854,23899,13137,18478,12101,8030,1562,2931,16893,1457,10420,15762,19182,7392,17494,7202,17446,4564,19833,8795,3157,22533,4913,7924,5550,7528,19438,19770,-8,4424,17565,7033,15332,2164,9422,9315,6466,23929,15216,5216,14675,2161,5785,5155,11829,6486,16499,2686,4627,10649,106,19674,5178,17406,-2241,8086,9657,11660,20228,16468,351,19970,21154,11557,9608,2860,15551
"AML",382,780,41570,71369,252,17789,252,49267,-154,10640,33532,14341,26632,11687,1173,6316,3917,-26258,30016,11185,3293,1450,-864,8395,2914,146,8371,45932,284,303,-534,8851,2667,16141,9935,3928,3461,24106,2952,2331,-439,11570,27611,26443,18613,2483,5953,-159,25857,32079,8523,414,5465,661,12351,9428,737,6422,7428,10965,5408,1659,16355,13226,8295,18830,13164,9220,127,2738,21232,8832,18911,6585,6541,15412,268,2152,3817,845,10900,-834,1019,16263,24678,17369,13351,4147,894,8883,73,17705,-1425,13489,6156,13931,891,5522,1097,15002,11375,30157,3353,108,19348,558,2705,5131,688,14417,23913,-341,1889,17662,5028,17247,-745,2843,6349,5484,29286,6078,1927,19071,176,4391,7260,18567,9195,7902,761,5042,9298,-27,14251,6311,14991,-3383,2846,9914,5958,18545,20419,1070,20286,31648,4207,15276,4109,20918
"AML",7531,11055,39538,48374,-97,29775,5347,41778,17626,27467,22642,21129,27597,21247,29817,28552,2606,-11973,33016,24335,24178,4816,189,6883,1255,201,14000,36084,264,335,-227,2717,322,10353,11301,4281,12519,14188,2115,39040,245,6822,32898,34026,31703,6443,9403,34,20297,27745,23272,3116,2977,1522,6612,10905,463,8924,19563,11637,9718,21096,15228,10186,18295,12001,6813,15436,488,1014,19449,8993,13590,9118,6658,10629,15487,1276,9793,2791,4670,-308,5131,8808,14505,18916,23311,3424,4793,2082,37,16680,227,10284,6276,16840,14347,8310,13265,12570,4207,32020,8803,13136,18508,14593,5249,6378,8201,18608,19516,-115,1633,15054,6385,15170,-62,2460,9964,3706,19641,9596,5708,9610,-41,4496,5261,7717,5300,9793,3959,3403,8947,-53,18068,5314,11783,-1983,6725,9336,6827,15568,13113,1742,21180,29483,7450,13979,7483,18323
"ALL",17602,17962,15091,21011,-272,31086,8656,20764,-113,19748,14391,16489,15009,18727,5642,5418,56,-19826,16258,15446,303,1024,153,15076,782,6750,21210,16514,-26,7,-351,4660,333,11038,16287,18443,3326,7546,16077,3245,14511,23239,15774,15216,14744,1489,212,14538,14002,25071,14223,6559,5152,723,8463,13924,153,13537,9712,7118,11126,1584,17139,12454,21909,13771,7819,6312,119,524,17782,15119,15962,10882,8418,14476,147,9144,8421,1158,14339,8529,5214,2700,22525,13665,9881,3987,2654,3221,292,16627,3215,15442,18573,14552,557,8868,382,13706,5017,19398,9564,-9,20663,6698,-283,4279,921,24223,16944,-44,3079,16874,7952,14913,9738,3035,6284,7632,22121,9621,9059,13058,749,7531,4157,12143,9459,10477,5565,4243,1930,3282,17748,177,12801,-2532,8231,13706,11370,19295,13947,9326,20649,19899,5752,13353,5956,14108
"ALL",9868,16964,11038,25240,-194,29288,13285,17636,4452,7657,12824,22665,13566,20668,4858,17348,-29,-17930,14570,6169,1358,5031,12791,19448,368,2215,21059,15019,-166,1405,-432,4644,5345,18550,17926,21084,5768,9601,7162,1353,-16,22321,16959,15643,16712,6084,1346,615,14512,23095,17650,3824,16420,9456,18588,25285,-248,3319,9336,14580,13568,6035,21863,19697,21319,15097,10357,4497,44,413,18112,20593,21492,11789,11569,13686,1858,4090,1798,15997,5086,1518,850,6638,24045,16658,17544,6021,6765,10954,2062,13660,1582,17789,18421,18931,2716,11636,3606,14719,10824,18006,2174,253,23952,2897,-65,13116,4101,21103,14183,9252,10455,18656,8200,14924,115,7085,14069,7445,23042,5137,4614,19729,1104,8445,11557,14953,6073,18420,5318,8548,4851,1627,21825,3460,15610,-1278,10026,9660,12714,21939,17262,895,19962,22408,3930,16698,1234,12913
"ALL",28056,23436,16692,14950,-79,14835,15704,23324,775,1032,17278,7562,18957,24672,-398,6156,-109,-27182,17008,-662,254,2012,-591,27410,1268,3325,24292,18034,79,-33,-329,2488,301,8398,22626,22167,-216,2918,21278,770,-206,24556,18285,17059,16731,2281,880,5669,15724,21525,21798,3349,7840,19653,11825,15794,-34,552,11727,5245,16756,10435,18189,20420,19963,17378,12527,1397,172,975,23006,14283,18010,5023,9738,6560,862,3192,-490,3925,9752,3668,85,6981,21956,15573,13086,1855,3387,16529,-25,18802,1798,19708,18617,21497,1716,7422,2997,16661,2130,21085,11482,82,21873,-740,-395,6428,2799,22425,19370,17495,9378,16744,7381,19777,3272,2072,13354,3275,23885,9518,1236,10716,111,3385,12125,11750,12044,11507,2584,11553,3097,2783,16891,416,12642,-2466,13498,7706,17967,18485,12195,628,22202,23054,5249,16707,830,16066
"ALL",23812,22240,15763,31449,-300,25421,15691,21733,157,13356,15147,10996,16547,18773,-121,7070,-62,-23396,16017,11734,-304,2168,-882,14920,882,3058,17558,17725,171,6418,-300,3153,241,5763,15770,21771,37,9491,11421,419,5207,22891,14245,14893,17036,2178,10076,4850,14490,21279,15790,2442,5802,-190,8847,21231,-155,3529,10177,6779,11439,-45,18894,13477,18519,13818,7693,7723,395,786,17633,18977,18467,9567,11464,8955,-50,4750,2686,-300,8995,2569,6750,6276,24663,11275,14466,2825,1646,5364,-2,16263,11688,17589,17692,15979,1143,10420,1331,7177,2922,20331,4112,285,23052,1392,-367,3675,1166,21932,20411,-449,1493,19405,8007,14619,2293,2894,10677,5700,24116,13522,7070,16647,118,5252,8484,13939,10292,17843,11689,9425,3499,1544,19994,392,13815,-3216,6678,8763,10577,18865,15454,5314,20642,22312,2783,16960,1252,15496
"ALL",3553,5472,18128,12606,-157,29543,3390,20332,2175,13769,14101,12769,18660,19091,687,9017,938,-10339,17258,9260,-86,2877,-448,14653,949,1130,18530,18478,315,2139,-325,3185,93,7880,16386,19363,974,10367,10273,693,5994,23943,18323,16597,16806,1094,13149,1284,16640,23776,15470,1056,4690,95,9449,22273,43,4240,10411,8732,15030,1583,15341,14846,13909,15619,10766,10675,124,531,17384,22706,16105,8512,9349,8443,1023,7453,2345,197,3407,316,4902,9739,27143,12465,13686,7373,2189,2837,138,16907,2597,17797,17491,16141,2917,14877,3069,9445,3260,18998,3787,3058,22863,2312,290,6411,3250,23271,19924,-177,4742,22103,8590,14573,2731,5189,15517,3719,24471,14321,9553,18333,833,2911,9575,15848,12619,19284,10308,8511,6697,1896,17680,7972,18906,-634,8644,10422,13723,21388,15614,5354,21232,22697,3720,15831,1449,15002
"ALL",7809,7418,34207,24722,-202,8097,3085,32791,1612,1749,26900,4834,14522,38467,-248,6221,88,-21658,24528,1106,1168,2766,28104,25771,910,3906,33638,23815,-104,-74,-364,1198,215,6691,32046,26169,280,2263,21046,503,-220,25405,25364,25351,23456,1513,531,4148,23235,11926,29496,4530,7461,7978,9106,14846,-184,1417,16421,2633,24420,10205,16876,18192,12278,27972,6572,1657,-28,656,30481,14611,11471,4214,12415,3632,848,1897,35,586,6280,2404,236,5263,29898,27089,10375,1458,2951,16135,23,23447,2222,12827,19492,22097,3300,8371,2850,9305,5844,23824,6328,766,27994,-44,-40,4201,3126,18656,19403,13526,8842,10340,11252,10619,2743,1232,6638,3158,23810,9271,917,11254,51,3314,5315,10055,8241,12474,2647,5811,3703,2372,19997,597,8129,-1872,8309,4923,10909,13146,12808,282,26448,19133,1651,13912,807,16775
"ALL",41911,33041,30801,30267,-253,21002,23015,33797,109,10249,25197,16433,9147,14956,-223,4746,-78,-24024,21840,8433,-233,2034,-1129,11605,826,7761,20531,23369,-250,2377,-341,4528,159,9313,13576,15327,1080,9863,8265,334,-104,23781,18106,13087,16959,2866,4652,21573,22243,15712,18805,2532,5713,-270,9011,13050,-194,3216,15907,5586,12125,307,15252,14223,15021,18708,7216,6601,1107,779,20356,13830,16188,7144,8502,9542,-299,7593,1492,465,9502,26002,5998,4456,29492,25427,12736,5649,1885,6067,107,24680,-527,15317,13949,16599,830,6632,1201,6699,5687,23848,3832,120,19901,-1290,-366,4239,1053,16142,16666,-653,1063,13801,4837,14650,11031,3584,7852,4150,23571,10811,4402,16372,134,3481,6270,7853,7522,10328,9428,5430,4879,613,18972,403,16562,-2873,4824,5719,8535,13514,14373,5146,22112,19288,1702,8088,1834,17770
"ALL",3991,25832,25147,34136,-272,40065,17601,24655,44,21435,21687,18892,17979,18006,1541,7881,-257,-27570,18943,11169,-247,1811,365,8184,1302,4277,17000,22753,-110,3817,-649,1454,455,17826,16303,17348,883,5886,11357,2440,9682,27237,16885,16829,18213,2129,133,3934,17199,13118,17175,4542,3230,1289,7850,18936,-322,4776,13493,10295,4175,233,17138,19366,24018,11531,10210,2223,5012,643,10642,16711,13618,11441,7148,15741,-131,13214,2577,1095,13141,1299,5853,3323,25858,19436,8118,7820,2193,3103,-19,22449,3679,17450,19213,18077,1683,5937,1947,10507,5431,23246,6217,380,26804,665,-656,3625,1751,17742,19283,145,-250,12486,5901,17011,1548,2434,7432,5646,24964,6755,2033,11832,1115,6015,4566,9769,5162,10468,4742,6677,1361,4066,15780,140,12448,-3550,5033,6731,11072,18831,10342,4048,23194,13009,3487,14679,5601,14010
"ALL",978,1671,15272,13273,-130,16292,143,18208,1219,1432,12006,7918,20595,18507,910,9431,-35,-25171,13129,437,336,4944,14290,19932,1337,6114,22307,15348,118,191,-395,1798,445,14471,18288,20388,-561,5919,21674,1926,-118,23602,15693,15246,16113,3862,6915,13005,13825,21772,17827,3916,11441,16572,9491,21792,-195,786,8893,6382,15546,11375,21607,19824,19279,15594,17588,2593,-44,820,18316,22709,18757,6286,11771,7641,976,2551,-130,582,14781,13939,345,12128,23594,7485,14541,4563,5145,15235,104,13611,3119,18909,20296,16795,1965,13954,2629,17678,3371,18541,5881,160,19765,832,-231,10626,2343,22447,19459,13158,11741,20634,13385,15050,7272,5143,16358,4446,22521,17246,4988,18139,-75,4966,10061,16610,14825,17887,5522,10096,8382,1391,22225,848,16869,-1849,13655,8414,15432,21367,16742,423,19294,20947,9480,16866,955,16467
"ALL",6153,8419,21801,6933,352,10073,5013,26774,902,2273,18387,2779,22332,25078,-72,5092,392,-12500,18960,1671,498,6687,15987,27919,82,-9,20357,20012,344,-10,161,5702,522,17685,20332,17569,260,3387,22146,361,-93,23694,19625,17924,20922,1974,696,-163,18867,21632,21874,532,15331,21880,16254,13129,-15,838,11949,3845,18782,10110,16595,21759,11614,18398,14289,2776,121,448,23485,20338,17741,3584,7696,6039,1099,1983,129,865,4396,-241,256,9205,27518,18678,9909,4169,2334,8982,-35,18927,4927,16337,17462,19497,1781,17067,2148,11779,1295,22030,542,553,28033,-222,-36,7341,1502,24062,23122,5588,12546,21003,16096,9423,-213,5700,9850,2398,25118,8487,1083,16914,161,2183,7194,15529,12022,16525,3093,13098,8790,972,21794,1094,14319,629,8147,8435,13261,16008,16647,585,21146,21263,4630,16302,897,17688
"ALL",19085,17592,18167,14048,-184,9073,10580,22297,112,461,14650,2638,24051,20196,-74,6027,16,-17480,16974,-321,-376,2968,18275,25452,737,1531,18573,16253,14,278,-335,1248,1278,18093,16870,13372,-61,2128,19740,675,-182,24755,16241,16311,19733,2561,544,791,16328,20849,17789,3538,2499,6008,6240,21920,-197,236,8079,5139,17041,5598,12754,18174,11254,17651,9554,796,239,413,21746,19725,21851,4479,11587,6012,99,3680,-380,700,5914,1553,-40,7933,25966,18795,5481,2545,3947,8630,189,17281,1174,11899,19190,15282,833,11311,969,10500,4220,20014,3427,143,25524,1040,-152,13447,964,23786,20742,8361,12682,16469,14091,15490,122,2135,9459,3348,24883,11557,753,12209,35,3278,7021,12024,11496,18265,4194,8438,4987,780,20866,1343,15791,-666,7035,9052,13034,19196,16439,147,22024,22476,6953,17025,206,17068
"ALL",13625,10660,27087,9098,349,25346,5501,30546,2979,12114,21135,16858,4539,17705,-71,15280,1452,-15256,21421,8832,107,8918,-340,19281,1296,4239,14924,22497,22,80,-47,11149,3684,12006,11664,15269,-152,7797,5867,255,278,16265,17558,14516,25213,7901,1806,8299,21200,19699,25622,6599,6116,612,7218,19431,-145,4666,15497,7372,20863,639,19110,10556,16809,23030,7264,5458,102,399,25785,23650,9174,10249,7889,11347,2233,5705,4295,4666,9678,5351,1802,6038,29507,13817,9020,2162,4207,1695,1855,19268,4857,17088,18062,13914,4009,12908,3939,7458,6011,21289,860,583,28619,780,41,5459,2599,26879,15345,34,3545,13007,7776,9183,4204,1914,3904,4499,22803,15181,5026,11965,1076,4912,4036,13451,6711,14053,4101,5259,5472,2433,22066,5252,20751,2102,3449,9520,6001,21376,16049,2504,23781,23700,3423,12258,3052,19078
"ALL",13604,16215,19324,16617,-106,30797,8567,23104,-105,22819,16203,14353,15822,18957,2087,6183,22,-12854,17200,16757,-97,995,-318,11065,160,55,17084,16115,20,59,-86,4229,116,12034,14587,9946,3384,14517,17328,397,6654,23198,17520,18132,18877,3602,399,-71,17001,27485,18530,892,5451,282,9713,15106,-227,17459,11377,15435,10630,5125,11793,20407,20133,15408,5249,8259,136,273,11898,14555,17992,14833,6958,15086,95,13883,11895,2286,6609,-316,7400,7080,21499,15440,12192,5028,3709,4765,3,17921,5308,18015,14291,16150,93,16249,210,11793,6509,21565,9004,5,21474,1325,-104,7492,123,27162,18349,-294,2459,20578,11147,12586,-209,8166,11615,11134,22140,8798,11150,14187,3268,9826,12920,10227,7346,14446,7747,14431,5597,9811,17259,2408,20684,-1301,8020,11960,10173,18714,15161,5075,19472,20523,4282,14389,10164,13783
"ALL",22650,20080,14760,23337,-169,28519,14585,18283,2675,3274,13734,23424,15133,20079,445,13077,93,-14937,14992,2992,820,3836,16154,16323,838,628,20761,16465,26,1439,-348,841,94,7974,17503,15571,610,3531,7624,1110,-40,22597,15493,16023,17723,1204,1342,912,13925,21720,14919,1774,1950,14079,3590,22760,-186,1640,9068,12962,11676,2653,20085,16533,19916,13972,7918,4217,497,583,18540,18743,18691,11702,14111,11387,1654,851,895,13330,10724,1916,1424,7850,24068,15294,8270,2624,2466,3529,9,15302,1105,11890,17593,18813,3576,14053,3633,10129,3705,18057,8365,1651,23810,902,-140,3139,3264,21210,20225,-458,2484,19140,9518,16065,583,2716,7290,5416,24793,10988,2357,18532,-62,5473,6555,11334,12217,18704,3076,6763,4222,257,22061,2525,15479,-585,4893,9640,13239,21071,17070,155,20239,22500,4254,17786,1998,16001
"ALL",1291,1886,11631,30256,-190,23338,456,18949,64,17537,12889,16638,14432,20258,1843,8506,333,-13380,13949,14404,76,1840,151,17426,520,2773,19599,17202,-16,212,-350,2826,29,7810,16292,21908,896,12831,14960,1193,14812,21212,15027,16741,16858,2859,5151,6800,13074,17418,17499,3588,7612,433,8024,21306,-80,8739,8694,15728,14110,1717,21445,18153,21147,13935,4418,11103,54,478,16658,22167,13319,14856,11899,14741,77,8568,9326,1787,12996,2740,7938,10803,24111,14117,15261,7081,4968,9000,91,14709,3260,14147,18787,16449,637,16649,735,10758,7187,18202,5774,60,23891,546,-198,5550,434,20978,18596,-382,1709,20539,11945,13228,6946,3521,14695,12184,23118,13845,10737,17094,55,11837,11506,15059,13437,17603,10614,10198,8104,6270,20365,2133,15934,-1260,10267,9607,13382,23890,16082,5767,17990,20416,1395,17641,9762,14792
"ALL",12223,15549,16738,27268,-264,14990,6725,23166,157,15787,15277,9782,17264,19710,1789,3720,3562,-10492,16610,9567,36,2850,-279,10815,478,124,19110,17756,174,-17,22,3097,38,5024,14149,11203,208,9546,6918,243,811,22534,17843,16820,17858,1259,470,-8,16360,22417,19987,1106,4009,4811,7524,15203,-131,3370,10876,3104,13017,512,20273,13573,15165,15036,5187,9569,184,501,17585,18557,18762,3458,6535,4700,129,5256,2722,1571,5843,-186,12403,7186,24226,15431,10835,4959,2102,10227,73,16884,1845,16668,19533,18315,635,11518,637,16011,1452,21255,6176,140,25393,-3,-102,4538,975,22743,22066,-330,5862,22738,13265,14483,-251,1762,11916,3615,25433,10014,4330,15409,170,3198,11089,14143,11935,18122,6737,7075,5847,6845,21277,1232,13564,-1260,11553,10142,11269,25832,17800,3649,22371,23722,2240,17532,2090,15912
"ALL",21882,21917,14030,28952,-6,27238,11630,19482,41,11030,13409,25301,16172,19137,5593,12676,1441,-19523,12987,4144,375,3843,-565,16575,7,12,22689,13658,149,1060,-847,5339,282,13170,14998,10470,3977,17799,19836,5019,-159,25068,16608,15370,15040,2689,4109,-96,12973,25027,15084,902,5493,7932,15606,26584,-652,4405,7736,12882,13007,4639,21779,11833,24360,14758,8462,11403,491,864,15992,22629,12462,11984,14654,10977,-391,3574,2784,8390,17349,-382,715,13412,23997,11945,16373,3238,3974,8469,17,11993,683,12879,20529,22334,817,12492,973,17077,6932,18239,12218,147,22141,1755,-158,3282,1133,21766,14005,-766,10698,16376,14313,16101,-397,5280,14838,5630,23812,10361,8865,10246,-43,4631,13775,10184,6735,16798,4371,11970,8693,1234,17557,1150,16902,-4125,4551,15678,12825,19324,15259,218,21115,16652,4060,11778,1493,9278
"ALL",247,62,23505,13297,-143,32645,74,24312,-26,24727,17722,1182,9642,23994,14774,9783,184,-8692,19782,16550,22,9087,-90,19482,-144,2682,22481,17086,179,102,-153,932,136,3790,18221,10736,6102,5039,15159,6669,3119,22936,21275,19146,20832,2753,6975,832,16559,22807,23352,6134,1689,969,2345,19346,-84,14706,12914,8097,16429,119,21753,9209,18365,17485,4258,1535,112,441,20255,18432,14221,8760,5751,10693,100,952,8129,-112,8178,273,9196,14766,28109,16256,11519,859,1891,2091,41,18649,1088,13208,19508,10127,1631,14283,1263,5343,-168,22268,4752,11,26440,10528,-76,5267,1261,21607,24724,-251,642,18984,12479,4215,933,2376,14417,4725,21445,10262,7274,13516,76,5217,4845,12278,12231,15542,3990,2410,8516,-135,23019,1232,13182,195,5135,7934,8316,21979,16022,3339,20452,23999,864,13791,2872,15967
"ALL",4837,18793,20225,33143,-202,31031,12670,24377,-23,20755,18828,17322,3752,13457,314,4453,478,-11572,17360,18100,-180,7168,-307,12502,45,145,12040,16390,-20,1060,-38,1045,-53,12336,9670,6474,1099,11235,6595,791,3342,20962,13835,14653,20221,815,145,-56,17228,22763,14423,986,3219,319,5854,18615,-125,9377,12498,7561,14131,2176,16458,18879,15715,15675,3385,7217,5089,364,18930,21879,20398,7370,4661,10248,222,10643,8607,4812,3462,-414,2680,7182,23933,14616,9622,5500,1712,2273,16,18397,2415,16021,14311,13491,846,11973,694,7500,3233,20849,7751,65,23297,533,-108,5160,758,22198,25926,92,9145,20386,13196,11163,-284,2105,6941,5356,24879,9433,5811,14233,64,4756,8499,9848,15891,15496,4553,6683,5471,7686,21412,1519,13508,55,5426,9497,6450,22040,17446,2696,22088,25492,258,13882,8203,17911
